,news_id,category,sub_category,title,abstract,url,title_entities,abstract_entitites
2242,N4607,autos,autosnews,Cause determined in Jessi Combs' fatal speed record crash,Occurred at speeds near 550 mph,https://assets.msn.com/labs/mind/AAJQHG7.html,"[{""Label"": ""Jessi Combs"", ""Type"": ""P"", ""WikidataId"": ""Q6187039"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Jessi Combs""]}]",[]
2265,N55000,foodanddrink,restaurantsandnews,We compared Popeyes' discontinued chicken Po' Boy to its new fried chicken sandwich,"You've had a good run, Po' Boy, but Popeyes' new fried chicken sandwich is the new shining star on the fast-food chain's menu.",https://assets.msn.com/labs/mind/AAGzSle.html,"[{""Label"": ""Popeyes"", ""Type"": ""O"", ""WikidataId"": ""Q1330910"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Popeyes""]}, {""Label"": ""Po' boy"", ""Type"": ""C"", ""WikidataId"": ""Q4992018"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""Po' Boy""]}]","[{""Label"": ""Popeyes"", ""Type"": ""O"", ""WikidataId"": ""Q1330910"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Popeyes""]}, {""Label"": ""Po' boy"", ""Type"": ""C"", ""WikidataId"": ""Q4992018"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Po' Boy""]}]"
2393,N6233,sports,boxing,Boxer Patrick Day dies after suffering traumatic brain injury in super welterweight fight,"Boxer Patrick Day, 27, died on Wednesday after being knocked out against Charles Conwell on Saturday. He had surgery and had been in a coma.",https://assets.msn.com/labs/mind/AAIT2Xj.html,[],[]
2439,N848,lifestyle,shop-all,10 Amazing Things at Walmart You Can't Buy Anywhere Else,"We rounded up the coolest, most unique, and most affordable items you can find only at Walmart. Get ready…get set…shop! The post 10 Amazing Things at Walmart You Can't Buy Anywhere Else appeared first on Reader's Digest.",https://assets.msn.com/labs/mind/AAIr7p1.html,"[{""Label"": ""Walmart"", ""Type"": ""O"", ""WikidataId"": ""Q483551"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Walmart""]}]","[{""Label"": ""Walmart"", ""Type"": ""O"", ""WikidataId"": ""Q483551"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [87, 150], ""SurfaceForms"": [""Walmart"", ""Walmart""]}, {""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [204], ""SurfaceForms"": [""Reader's Digest""]}]"
2671,N19594,entertainment,humor,Funny celeb pics for October 2019,Helen Mirren does ride share differently and more pics that will make you LOL.,https://assets.msn.com/labs/mind/AAIaFZ7.html,[],"[{""Label"": ""Helen Mirren"", ""Type"": ""P"", ""WikidataId"": ""Q349391"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Helen Mirren""]}]"
3369,N40141,sports,baseball_mlb,ALCS Game 5: Yankees stay alive with win against Astros,,https://assets.msn.com/labs/mind/AAJ0fy4.html,"[{""Label"": ""New York Yankees"", ""Type"": ""O"", ""WikidataId"": ""Q213417"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Yankees""]}, {""Label"": ""Houston Astros"", ""Type"": ""O"", ""WikidataId"": ""Q848117"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""Astros""]}]",[]
3461,N21215,autos,autosownership,Here's How Often You Should Rotate Your Tires,"Rotating your car's tires may not seem like a huge deal compared other common car maintenance tasks, but it's actually important for your overall safety.",https://assets.msn.com/labs/mind/AAIOINO.html,[],[]
3888,N258,weather,weathertopstories,Former TS Priscilla dissipates after coming ashore in Mexico,"MEXICO CITY (AP)   Former Tropical Storm Priscilla pushed onto Mexico's southwestern coast Sunday and then broke up while moving over land, but it still posed a threat of heavy rains that could cause flooding and mudslides. The U.S. National Hurricane Center downgraded Priscilla to a tropical depression as it weakened after making landfall in the afternoon near the Pacific coast resort of Manzanillo. It said the storm dissipated during the...",https://assets.msn.com/labs/mind/AAJ4eh7.html,"[{""Label"": ""Mexico"", ""Type"": ""G"", ""WikidataId"": ""Q96"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [54], ""SurfaceForms"": [""Mexico""]}]","[{""Label"": ""National Hurricane Center"", ""Type"": ""O"", ""WikidataId"": ""Q1329523"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [228], ""SurfaceForms"": [""U.S. National Hurricane Center""]}, {""Label"": ""Manzanillo, Colima"", ""Type"": ""G"", ""WikidataId"": ""Q739908"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [392], ""SurfaceForms"": [""Manzanillo""]}, {""Label"": ""1989 Pacific hurricane season"", ""Type"": ""U"", ""WikidataId"": ""Q4585368"", ""Confidence"": 0.907, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Tropical Storm Priscilla""]}, {""Label"": ""Mexico City"", ""Type"": ""G"", ""WikidataId"": ""Q1489"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""MEXICO CITY""]}, {""Label"": ""Mexico"", ""Type"": ""G"", ""WikidataId"": ""Q96"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [63], ""SurfaceForms"": [""Mexico""]}]"
3973,N45734,news,causes-poverty,One in 5 children live below the poverty line: Here are the states with the highest number of kids dependent on free lunches,"More than 30 million kids around around the country rely on free or reduced price lunches, but some states need more help than others.",https://assets.msn.com/labs/mind/AAFc5zj.html,[],[]
4414,N18957,lifestyle,lifestyleroyals,People Can't Stop Debating Who Princess Charlotte Looks Like Queen Elizabeth Or Princess Diana,The 4-year-old is a beautiful little girl who definitely has a feisty streak.,https://assets.msn.com/labs/mind/AAItEyr.html,"[{""Label"": ""Princess Charlotte of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q18002970"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""Princess Charlotte""]}, {""Label"": ""Diana, Princess of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q9685"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [80], ""SurfaceForms"": [""Princess Diana""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.927, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Queen Elizabeth""]}]",[]
4557,N10897,autos,autosnews,TV reporter fired after climbing on cars live at auto show,"He climbed atop a Ford Thunderbird and 2020 Explorer, and dinged the door of another T-bird",https://assets.msn.com/labs/mind/AAJfp0d.html,"[{""Label"": ""Auto show"", ""Type"": ""C"", ""WikidataId"": ""Q1156329"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""auto show""]}]","[{""Label"": ""Ford Thunderbird"", ""Type"": ""V"", ""WikidataId"": ""Q1133834"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [18, 85], ""SurfaceForms"": [""Ford Thunderbird"", ""T-bird""]}, {""Label"": ""Ford Explorer"", ""Type"": ""V"", ""WikidataId"": ""Q598084"", ""Confidence"": 0.964, ""OccurrenceOffsets"": [44], ""SurfaceForms"": [""Explorer""]}]"
4859,N8745,health,wellness,The One Thing Kourtney Kardashian Drinks Every Morning for Younger-Looking Skin,"Instead of waking up with a hot cup of coffee, the ""Keeping Up with The Kardashians"" star makes a warm collagen powder beverage to kick-start her day.",https://assets.msn.com/labs/mind/AAJAS6T.html,"[{""Label"": ""Kourtney Kardashian"", ""Type"": ""P"", ""WikidataId"": ""Q575689"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Kourtney Kardashian""]}]","[{""Label"": ""Keeping Up with the Kardashians"", ""Type"": ""W"", ""WikidataId"": ""Q152108"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""Keeping Up with The Kardashians""]}]"
4917,N57426,lifestyle,lifestylecelebstyle,"Jennifer Lopez Just Got a Teeny Chop to Her Blond Lob, but it Changed the Entire Look","In September, Jennifer Lopez debuted a new hairstyle at the premiere of Hustlers.",https://assets.msn.com/labs/mind/AAH2mck.html,"[{""Label"": ""Jennifer Lopez"", ""Type"": ""P"", ""WikidataId"": ""Q40715"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Jennifer Lopez""]}]","[{""Label"": ""Jennifer Lopez"", ""Type"": ""P"", ""WikidataId"": ""Q40715"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Jennifer Lopez""]}, {""Label"": ""Hustlers (2019 film)"", ""Type"": ""N"", ""WikidataId"": ""Q63315506"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [72], ""SurfaceForms"": [""Hustlers""]}]"
5118,N50872,lifestyle,shop-holidays,50 amazing gifts for every type of person and budget,Let the product experts at Reviewed help you find the perfect gifts for everyone on your list.,https://assets.msn.com/labs/mind/AAJQMdO.html,[],[]
5267,N40901,lifestyle,lifestyledidyouknow,55 photos that capture the beauty of the world from the air,"From dunes in the African desert to icebergs in Greenland, some parts of the world are even more beautiful from a birds-eye view.",https://assets.msn.com/labs/mind/AAHoaPT.html,[],"[{""Label"": ""Greenland"", ""Type"": ""G"", ""WikidataId"": ""Q223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Greenland""]}]"
5476,N10732,lifestyle,lifestylebuzz,Couple Didn't Know Why Car Was Running Strangely   Then They Popped The Hood,"Earlier this week, Holly Persic was driving to work in Pennsylvania when her car suddenly started acting up. The engine was making a weird sound, and there was a faint smell of burning. Persic pulled over and called her husband, Chris. He suggested she pop the hood. And sure enough, this is what they found: Chris Persic Inside the engine compartment were hundreds of walnuts, along with some dry grass. A squirrel, it seems, had chosen the...",https://assets.msn.com/labs/mind/AAIwVzh.html,[],"[{""Label"": ""Pennsylvania"", ""Type"": ""G"", ""WikidataId"": ""Q1400"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""Pennsylvania""]}]"
5527,N58814,lifestyle,advice,My Husband Doesn't Like What I Wear and It's Making Me Feel Terrible,My husband considers himself something of fashionista and always criticizes what I wear. What can I do about it.,https://assets.msn.com/labs/mind/AAHqT67.html,[],[]
5763,N23547,tv,tv-gallery,Disney+: All the Original TV Shows and Movies Set for Streaming Platform (Photos),"Direct-to-consumer offering will house programming from Marvel Studios, Pixar and Lucasfilm",https://assets.msn.com/labs/mind/AAFWNPM.html,"[{""Label"": ""Disney+"", ""Type"": ""N"", ""WikidataId"": ""Q54958752"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Disney+""]}]","[{""Label"": ""Pixar"", ""Type"": ""O"", ""WikidataId"": ""Q127552"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [72], ""SurfaceForms"": [""Pixar""]}, {""Label"": ""Lucasfilm"", ""Type"": ""O"", ""WikidataId"": ""Q242446"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [82], ""SurfaceForms"": [""Lucasfilm""]}, {""Label"": ""Marvel Studios"", ""Type"": ""O"", ""WikidataId"": ""Q367466"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [56], ""SurfaceForms"": [""Marvel Studios""]}]"
5766,N23814,lifestyle,voices,I moved from the US to the UK. Here are the 8 things that surprised me the most.,"I've found that living in England comes with a lot of perks, especially when it comes to rent, grocery shopping, and travel.",https://assets.msn.com/labs/mind/AAHr37p.html,"[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.952, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""US""]}, {""Label"": ""United Kingdom"", ""Type"": ""G"", ""WikidataId"": ""Q145"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [27], ""SurfaceForms"": [""UK""]}]","[{""Label"": ""England"", ""Type"": ""G"", ""WikidataId"": ""Q21"", ""Confidence"": 0.971, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""England""]}]"
5905,N10814,finance,markets,US considers dropping some tariffs on China,"According to five people briefed on the discussions, the White House is considering whether to roll back levies on $112 billion of Chinese imports   including clothing, appliances and flatscreen monitors   that were introduced at a 15 percent rate on Sept. 1.",https://assets.msn.com/labs/mind/AAJQZHE.html,"[{""Label"": ""China"", ""Type"": ""G"", ""WikidataId"": ""Q148"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""China""]}]","[{""Label"": ""White House"", ""Type"": ""F"", ""WikidataId"": ""Q35525"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [57], ""SurfaceForms"": [""White House""]}]"
5965,N32004,news,newscrime,"Maryland man, 46, gets probation after he killed a father and his four daughters when his SUV crossed a median and slammed into their minivan","Alvin Hubbard III, 46, of Cambridge, Maryland, was sentenced to one year of probation after he killed a father and his four daughters when his SUV slammed into a family's minivan in 2018",https://assets.msn.com/labs/mind/AAJKpEY.html,"[{""Label"": ""Sport utility vehicle"", ""Type"": ""C"", ""WikidataId"": ""Q192152"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [90], ""SurfaceForms"": [""SUV""]}]","[{""Label"": ""Sport utility vehicle"", ""Type"": ""C"", ""WikidataId"": ""Q192152"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [143], ""SurfaceForms"": [""SUV""]}, {""Label"": ""Cambridge, Maryland"", ""Type"": ""G"", ""WikidataId"": ""Q755862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Cambridge""]}]"
6033,N12761,foodanddrink,restaurantsandnews,"Popeyes' chicken sandwich is back on the menu, but it seems smaller and less exciting the second time around","Popeyes finally brought back its long-awaited chicken sandwich, but it may not be the chicken sandwich fans were waiting for.",https://assets.msn.com/labs/mind/AAJQOTg.html,"[{""Label"": ""Popeyes"", ""Type"": ""O"", ""WikidataId"": ""Q1330910"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Popeyes""]}]","[{""Label"": ""Popeyes"", ""Type"": ""O"", ""WikidataId"": ""Q1330910"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Popeyes""]}]"
6341,N41122,autos,autossuvs,The Full-Size 2022 Jeep Grand Wagoneer SUV Is Finally On Its Way,"The new, luxurious Wagoneers will be built in Detroit starting late in 2021",https://assets.msn.com/labs/mind/AAEUpTP.html,"[{""Label"": ""Jeep Wagoneer (SJ)"", ""Type"": ""V"", ""WikidataId"": ""Q823115"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Jeep Grand Wagoneer""]}, {""Label"": ""Sport utility vehicle"", ""Type"": ""C"", ""WikidataId"": ""Q192152"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""SUV""]}]","[{""Label"": ""Detroit"", ""Type"": ""G"", ""WikidataId"": ""Q12439"", ""Confidence"": 0.964, ""OccurrenceOffsets"": [46], ""SurfaceForms"": [""Detroit""]}]"
6560,N976,lifestyle,lifestylefamilyandrelationships,How to Deal With Your Partner's Annoying Habits,"The toilet seat that's up. The empty milk carton in the fridge. The socks under the bed. Sigh. But you do things that annoy your partner, too and small changes could make a big difference for both of you.",https://assets.msn.com/labs/mind/AAHnYVP.html,[],[]
6652,N18059,lifestyle,voices,Being the Only Woman of Color in My Office Taught Me So Much About the Real World,I've always been a hard worker.,https://assets.msn.com/labs/mind/AAF227b.html,[],[]
6877,N53872,sports,football_nfl,"Brady jabs Manning, joins other athletes in costume for Halloween",,https://assets.msn.com/labs/mind/AAJF0S0.html,"[{""Label"": ""Tom Brady"", ""Type"": ""P"", ""WikidataId"": ""Q313381"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Brady""]}, {""Label"": ""Halloween"", ""Type"": ""H"", ""WikidataId"": ""Q251868"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [56], ""SurfaceForms"": [""Halloween""]}]",[]
7233,N47954,autos,autosenthusiasts,2020 Airstream Caravel Is a Miniature Hotel Room on Wheels,Airstream's iconic exterior design and contemporary interior styling makes the Caravel the most fashionable compact trailer at the campground.,https://assets.msn.com/labs/mind/AAIYYim.html,"[{""Label"": ""Airstream"", ""Type"": ""O"", ""WikidataId"": ""Q409230"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Airstream""]}]","[{""Label"": ""Airstream"", ""Type"": ""O"", ""WikidataId"": ""Q409230"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Airstream""]}]"
7344,N64214,autos,autosnews,What Fiat Chrysler and PSA Peugeot Citroën Merger Will Mean for U.S. Car Buyers,"Now that FCA and PSA confirm they're doing a 50/50 merger, we're more likely to see technology being shared than cars being added to the U.S. market.",https://assets.msn.com/labs/mind/AAJF1ca.html,"[{""Label"": ""Fiat Chrysler Automobiles"", ""Type"": ""O"", ""WikidataId"": ""Q15678788"", ""Confidence"": 0.987, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Fiat Chrysler""]}, {""Label"": ""Groupe PSA"", ""Type"": ""O"", ""WikidataId"": ""Q275623"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""PSA Peugeot Citro\u00ebn""]}]","[{""Label"": ""Fiat Chrysler Automobiles"", ""Type"": ""O"", ""WikidataId"": ""Q15678788"", ""Confidence"": 0.987, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""FCA""]}, {""Label"": ""Groupe PSA"", ""Type"": ""O"", ""WikidataId"": ""Q275623"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""PSA""]}]"
7703,N21087,sports,football_nfl,Report: Three-time Super Bowl-winning RB LeGarrette Blount works out for Raiders,"Now 32 years old, Blount has nearly 1,500 carries through nine pro seasons and has 6,306 yards and 56 career TDs.",https://assets.msn.com/labs/mind/AAITeb5.html,"[{""Label"": ""LeGarrette Blount"", ""Type"": ""P"", ""WikidataId"": ""Q963007"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""LeGarrette Blount""]}, {""Label"": ""Oakland Raiders"", ""Type"": ""O"", ""WikidataId"": ""Q324523"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [73], ""SurfaceForms"": [""Raiders""]}]","[{""Label"": ""LeGarrette Blount"", ""Type"": ""P"", ""WikidataId"": ""Q963007"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Blount""]}]"
8056,N27966,lifestyle,voices,"My husband and I have a 'family meeting' every week, and it saved our marriage after I became a mom","Writer Melissa Petro found the first year of full-time motherhood overwhelming. To repair their relationship, her and her husband had family meetings.",https://assets.msn.com/labs/mind/AAJAuoG.html,[],[]
8457,N36637,news,newsworld,Saudi Arabia says it is not behind Iranian tanker struck in Red Sea,Saudi Arabia says it is not behind Iranian tanker struck in Red Sea,https://assets.msn.com/labs/mind/AAIIb52.html,"[{""Label"": ""Red Sea"", ""Type"": ""L"", ""WikidataId"": ""Q23406"", ""Confidence"": 0.987, ""OccurrenceOffsets"": [60], ""SurfaceForms"": [""Red Sea""]}, {""Label"": ""Saudi Arabia"", ""Type"": ""G"", ""WikidataId"": ""Q851"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Saudi Arabia""]}]","[{""Label"": ""Red Sea"", ""Type"": ""L"", ""WikidataId"": ""Q23406"", ""Confidence"": 0.987, ""OccurrenceOffsets"": [60], ""SurfaceForms"": [""Red Sea""]}, {""Label"": ""Saudi Arabia"", ""Type"": ""G"", ""WikidataId"": ""Q851"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Saudi Arabia""]}]"
8596,N22442,tv,tv-gallery,'Sesame Street' turns 50: Our favorite celebrity visitors to the neighborhood,"As ""Sesame Street"" celebrates its 50th anniversary, we look at the show's legacy of inclusion and why it still resonates with kids in 2019.",https://assets.msn.com/labs/mind/AAJX6rd.html,"[{""Label"": ""Sesame Street"", ""Type"": ""W"", ""WikidataId"": ""Q155629"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [1], ""SurfaceForms"": [""Sesame Street""]}]","[{""Label"": ""Sesame Street"", ""Type"": ""W"", ""WikidataId"": ""Q155629"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Sesame Street""]}]"
8753,N43357,autos,autossuvs,2020 Volkswagen Atlas Cross Sport: First Look,Promised 5-passenger production-ready crossover debuts.… The post 2020 Volkswagen Atlas Cross Sport: First Look appeared first on autoNXT.net.,https://assets.msn.com/labs/mind/AAIDGxT.html,[],[]
10812,N46616,foodanddrink,newstrends,The best sandwich shop in every US state and DC,"You don't need to look far to find a great sandwich in the USA. We've rounded up the best sandwich joints in every state, spanning the range from old-school delis still whipping up traditional favorites to quirky, modern joints putting innovative ingredients to work. Pull up a stool and sink your teeth into these mouthwatering offerings.",https://assets.msn.com/labs/mind/AAIShm6.html,"[{""Label"": ""Sandwich bar"", ""Type"": ""U"", ""WikidataId"": ""Q17119403"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""sandwich shop""]}, {""Label"": ""U.S. state"", ""Type"": ""U"", ""WikidataId"": ""Q35657"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""US state""]}]","[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.903, ""OccurrenceOffsets"": [59], ""SurfaceForms"": [""USA""]}]"
10937,N52500,lifestyle,shop-holidays,Walmart's Pre-Holiday Deals Are Live Right Now,Don't get trampled! Shop these online sales from the comfort of your couch.,https://assets.msn.com/labs/mind/AAJBGPa.html,[],[]
